date,equity
2024-06-25,79594.1068584838
2024-06-26,79594.1068584838
2024-06-27,79594.1068584838
2024-06-28,79594.1068584838
2024-06-29,79594.1068584838
2024-06-30,79594.1068584838
2024-07-01,79594.1068584838
2024-07-02,79594.1068584838
2024-07-03,79594.1068584838
2024-07-04,79594.1068584838
2024-07-05,79594.1068584838
2024-07-06,79594.1068584838
2024-07-07,79594.1068584838
2024-07-08,79594.1068584838
2024-07-09,79594.1068584838
2024-07-10,79594.1068584838
2024-07-11,79594.1068584838
2024-07-12,79594.1068584838
2024-07-13,79594.1068584838
2024-07-14,79594.1068584838
2024-07-15,79594.1068584838
2024-07-16,79594.1068584838
2024-07-17,79594.1068584838
2024-07-18,79594.1068584838
2024-07-19,79594.1068584838
2024-07-20,79594.1068584838
2024-07-21,79594.1068584838
2024-07-22,79594.1068584838
2024-07-23,79594.1068584838
2024-07-24,79594.1068584838
2024-07-25,79594.1068584838
2024-07-26,79594.1068584838
2024-07-27,79594.1068584838
2024-07-28,79594.1068584838
2024-07-29,79594.1068584838
2024-07-30,79594.1068584838
2024-07-31,79594.1068584838
2024-08-01,79594.1068584838
2024-08-02,79594.1068584838
2024-08-03,79594.1068584838
2024-08-04,79594.1068584838
2024-08-05,79594.1068584838
2024-08-06,79594.1068584838
2024-08-07,79594.1068584838
2024-08-08,79594.1068584838
2024-08-09,79594.1068584838
2024-08-10,79594.1068584838
2024-08-11,79594.1068584838
2024-08-12,79594.1068584838
2024-08-13,79594.1068584838
2024-08-14,79594.1068584838
2024-08-15,79594.1068584838
2024-08-16,79594.1068584838
2024-08-17,79594.1068584838
2024-08-18,79594.1068584838
2024-08-19,79594.1068584838
2024-08-20,79594.1068584838
2024-08-21,79594.1068584838
2024-08-22,79594.1068584838
2024-08-23,79594.1068584838
2024-08-24,79594.1068584838
2024-08-25,79594.1068584838
2024-08-26,79594.1068584838
2024-08-27,79594.1068584838
2024-08-28,79594.1068584838
2024-08-29,79594.1068584838
2024-08-30,79594.1068584838
2024-08-31,79594.1068584838
2024-09-01,79594.1068584838
